accuracy,recall,precision,Feature
1.7294561618481799,4.0603717562814206,5.192583787262504,Array/List(1/-1)
10.310011834384788,30.101589649624632,21.87513778408483,Convergence
10.29633474139831,0.34035205283408415,9.116303481929142,Counterexample
2.0161343255906967,2.2393604227830544,1.5445665030885205,Example
3.4111907975538003,4.270390724825646,3.797867555718477,Explanation
5.010924672763923,0.8701533773373963,2.409193596873821,Tag/Adjacency(1/-1)
0.22010125573069375,6.318000717931171,3.273082031663641,Array/List(1/-1)_AND_Convergence
5.409503256908383,3.0944351196914286,1.7426265179332248,Array/List(1/-1)_AND_Tag/Adjacency(1/-1)
5.7276248434665575,11.84942480988382,7.214555478395087,Counterexample_AND_Array/List(1/-1)
5.685645650808367,0.9730066310723221,7.81900600621294,Counterexample_AND_Convergence
3.4321946355671016,3.71468854780375,2.4735705111511543,Counterexample_AND_Tag/Adjacency(1/-1)
5.8873438130877815,9.439337993995487,5.256782346231751,Example_AND_Array/List(1/-1)
1.0928928396634083,4.137378074530261,2.659424551928084,Example_AND_Convergence
5.239654005699418,3.0669899251589876,5.152895212273042,Example_AND_Counterexample
1.4046439137908309,3.3851653267142647,0.6555004700772685,Example_AND_Tag/Adjacency(1/-1)
2.5663917488870456,0.0813708060606099,2.5726195486325008,Explanation_AND_Array/List(1/-1)
3.4262739232996684,7.268410994049941,3.5707044823403074,Explanation_AND_Convergence
17.234221068138343,1.831277846073413,4.271223261981579,Explanation_AND_Counterexample
2.9812366417814413,0.5611026047104635,4.777443579092461,Explanation_AND_Example
3.340100066907553,0.5611026047104651,3.0395013370496504,Explanation_AND_Tag/Adjacency(1/-1)
3.5781198027237195,1.8360900139273884,1.5854119560800146,Tag/Adjacency(1/-1)_AND_Convergence
