accuracy,algorithm,candidate_edge_count,condition_bits,condition_label,decoding_algorithm,embedding_model,f1,model,pair_name,precision,raw_row_path,recall,replication,status,thinking_mode_supported,verified_edge_count,avg_duration_seconds,avg_tokens_per_second,max_duration_seconds,max_tokens_per_second,response_trace_count,total_completion_tokens,total_prompt_tokens
0.7727272727272727,algo1,18,00000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,0.8717948717948718,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/greedy/sg1_sg2/00000/rep_00/raw_row.json,0.7727272727272727,0,finished,False,7,,,,,,,
0.4090909090909091,algo1,14,00000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.5806451612903226,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/sg1_sg2/00000/rep_00/raw_row.json,0.4090909090909091,0,finished,False,3,4.6983355,22.7390075,8.509395,24.794994,2.0,198.0,1018.0
1.0,algo1,21,00000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,1.0,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/sg1_sg2/00000/rep_00/raw_row.json,1.0,0,finished,False,7,8.689489,16.6670545,15.123874,16.92688,2.0,293.0,1103.0
0.7727272727272727,algo1,18,00000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,0.8717948717948718,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/greedy/sg1_sg2/00000/rep_01/raw_row.json,0.7727272727272727,1,finished,False,7,,,,,,,
0.4090909090909091,algo1,14,00000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.5806451612903226,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/sg1_sg2/00000/rep_01/raw_row.json,0.4090909090909091,1,finished,False,3,4.572415,23.051430500000002,8.257319,24.788436,2.0,198.0,1018.0
1.0,algo1,21,00000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,1.0,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/sg1_sg2/00000/rep_01/raw_row.json,1.0,1,finished,False,7,8.7012835,16.627716,15.138932,16.910044,2.0,293.0,1103.0
0.7727272727272727,algo1,18,00000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,0.8717948717948718,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/greedy/sg1_sg2/00000/rep_02/raw_row.json,0.7727272727272727,2,finished,False,7,,,,,,,
0.4090909090909091,algo1,14,00000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.5806451612903226,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/sg1_sg2/00000/rep_02/raw_row.json,0.4090909090909091,2,finished,False,3,4.66953,21.2358105,8.305233,21.280162,2.0,198.0,1018.0
1.0,algo1,21,00000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,1.0,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/sg1_sg2/00000/rep_02/raw_row.json,1.0,2,finished,False,7,8.660149,16.671034,15.055716,17.003509,2.0,293.0,1103.0
0.7727272727272727,algo1,18,00000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,0.8717948717948718,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/greedy/sg1_sg2/00000/rep_03/raw_row.json,0.7727272727272727,3,finished,False,7,,,,,,,
0.4090909090909091,algo1,14,00000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.5806451612903226,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/sg1_sg2/00000/rep_03/raw_row.json,0.4090909090909091,3,finished,False,3,4.8033025,22.463896499999997,8.717286,24.738023,2.0,198.0,1018.0
1.0,algo1,21,00000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,1.0,allenai/Olmo-3-7B-Instruct,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo1-olmo-current/runs/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/sg1_sg2/00000/rep_03/raw_row.json,1.0,3,finished,False,7,8.709750999999999,16.561445499999998,15.137068,16.912126,2.0,293.0,1103.0
