source_input,pair_name,Depth,Number of Words,Example,Counter-Example,Decoding Algorithm,Beam Width Level,Contrastive Penalty Level,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,beam,-1,0,5,1,48.0,0.0,1.0,1.0,1.0,48
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,beam,1,0,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,contrastive,0,-1,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,greedy,0,0,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,beam,-1,0,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,beam,1,0,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,contrastive,0,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,greedy,0,0,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,beam,-1,0,5,1,57.0,0.0,1.0,1.0,1.0,57
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,beam,1,0,5,1,54.0,0.0,1.0,1.0,1.0,54
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,contrastive,0,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,greedy,0,0,5,1,57.0,0.0,1.0,1.0,1.0,57
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,beam,-1,0,5,1,30.0,0.0,1.0,1.0,1.0,30
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,beam,1,0,5,1,36.0,0.0,1.0,1.0,1.0,36
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,contrastive,0,-1,5,1,30.0,0.0,1.0,1.0,1.0,30
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,greedy,0,0,5,1,27.0,0.0,1.0,1.0,1.0,27
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,beam,-1,0,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,beam,1,0,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,contrastive,0,-1,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,greedy,0,0,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,beam,-1,0,5,1,110.0,0.0,1.0,1.0,1.0,110
