accuracy,recall,precision,Feature
4.82217397290362,4.82217397290362,5.692136269884545,Array/List(1/-1)
0.1750631125367369,0.1750631125367369,0.19202958678077808,Convergence
26.79865588263734,26.79865588263734,33.5719873876864,Counterexample
15.143336896317741,15.143336896317741,18.77859699864868,Example
6.509911306292089,6.509911306292089,3.605888907327944,Explanation
2.0455738437806454,2.0455738437806454,2.2782769493373793,Tag/Adjacency(1/-1)
0.003956101778458447,0.003956101778458447,0.002370735639268865,Array/List(1/-1)_AND_Convergence
12.387078160082131,12.387078160082131,3.9852066096109624,Array/List(1/-1)_AND_Tag/Adjacency(1/-1)
0.6596668842647294,0.6596668842647294,0.19202958678077808,Counterexample_AND_Array/List(1/-1)
0.17506311253673693,0.17506311253673693,0.19202958678077808,Counterexample_AND_Convergence
0.4939443598589832,0.4939443598589832,0.19202958678077808,Counterexample_AND_Tag/Adjacency(1/-1)
2.939996854562555,2.939996854562555,3.9852066096109624,Example_AND_Array/List(1/-1)
0.003956101778458449,0.003956101778458449,0.002370735639268865,Example_AND_Convergence
2.3704378537168185,2.3704378537168185,0.19202958678077808,Example_AND_Counterexample
1.5346459165513817,1.5346459165513817,0.002370735639268865,Example_AND_Tag/Adjacency(1/-1)
7.1384005188850015,7.1384005188850015,11.95087835755435,Explanation_AND_Array/List(1/-1)
0.17506311253673704,0.17506311253673704,0.19202958678077808,Explanation_AND_Convergence
0.40599774943427486,0.40599774943427486,3.605888907327944,Explanation_AND_Counterexample
10.11512405744379,10.11512405744379,5.692136269884545,Explanation_AND_Example
6.097998100323307,6.097998100323307,5.692136269884545,Explanation_AND_Tag/Adjacency(1/-1)
0.0039561017784584636,0.0039561017784584636,0.002370735639268865,Tag/Adjacency(1/-1)_AND_Convergence
