source_input,Counterexample,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,accuracy,80,0.9117288961038961,0.012822542205709551,0.9139610389610391,0.8798701298701299,0.9285714285714286,0.9089190326542961,0.9145387595534961
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,accuracy,80,0.9184253246753247,0.006418583878810924,0.9188311688311688,0.9090909090909092,0.9285714285714286,0.9170187904678387,0.9198318588828106
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,precision,80,0.16439696542492593,0.09222192696503691,0.16228070175438591,0.0,0.3333333333333333,0.14418794464936127,0.1846059862004906
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,precision,80,0.19410901598401598,0.09233765773005156,0.2111111111111111,0.0,0.3333333333333333,0.17387463458640057,0.21434339738163138
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,recall,80,0.10197368421052629,0.06341483931846723,0.1052631578947368,0.0,0.2631578947368421,0.088077294843691,0.11587007357736157
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,recall,80,0.1052631578947368,0.05617642633932788,0.1052631578947368,0.0,0.2105263157894736,0.0929529557080176,0.11757336008145598
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,accuracy,80,0.8986710963455149,0.004094591511716459,0.8978405315614617,0.8920265780730897,0.9086378737541528,0.8977738294194063,0.8995683632716235
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,accuracy,80,0.898048172757475,0.004723407552429073,0.8986710963455149,0.8903654485049833,0.9069767441860463,0.8970131104409536,0.8990832350739963
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,precision,80,0.4046188186813187,0.12918929121509826,0.36607142857142855,0.25,0.75,0.3763089670433651,0.43292867031927235
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,precision,80,0.3608584124209124,0.14733932951410877,0.35416666666666663,0.1111111111111111,0.6666666666666666,0.3285712582787391,0.39314556656308564
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,recall,80,0.0667372881355932,0.021293443584244853,0.0677966101694915,0.0338983050847457,0.1016949152542373,0.062071156577309224,0.07140341969387716
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,recall,80,0.05190677966101691,0.025915118198622036,0.0508474576271186,0.0169491525423728,0.1016949152542373,0.04622787899918495,0.057585680322848866
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,accuracy,80,0.9406051797040169,0.0036116439852731533,0.9402748414376321,0.93446088794926,0.9471458773784356,0.9398137433207802,0.9413966160872537
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,accuracy,80,0.9411337209302326,0.0023702442629891705,0.9418604651162792,0.9355179704016914,0.945031712473573,0.940614318255291,0.9416531236051743
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,precision,80,0.3022904179154179,0.2202113428327368,0.26136363636363635,0.0,1.0,0.2540344797803479,0.3505463560504879
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,precision,80,0.2819120115995116,0.09860317182428979,0.2857142857142857,0.125,0.5,0.26030463888988364,0.3035193843091396
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,recall,80,0.04086538461538457,0.024550295821882704,0.0384615384615384,0.0,0.0961538461538461,0.03548556384348961,0.046245205387279525
data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,recall,80,0.04807692307692303,0.032091827648835426,0.0384615384615384,0.0192307692307692,0.1346153846153846,0.04104449127871271,0.055109354875133354
