algorithm,model,metric_name,row_count,mean_historical_score,mean_probe_score,mean_score_delta,mean_parsed_edge_count
algo1,mistral-medium-2508,accuracy,8,0.9021915584415585,0.939935064935065,0.03774350649350648,4.375
algo1,mistral-medium-2508,precision,8,0.2912418152378919,0.5583333333333333,0.26709151809544146,4.375
algo1,mistral-medium-2508,recall,8,0.4013157894736842,0.125,-0.2763157894736842,4.375
algo1,mistral-small-2506,accuracy,8,0.9021915584415585,0.9241071428571428,0.02191558441558436,5.25
algo1,mistral-small-2506,precision,8,0.2912418152378919,0.025,-0.26624181523789187,5.25
algo1,mistral-small-2506,recall,8,0.4013157894736842,0.006578947368421052,-0.3947368421052631,5.25
algo1,mistral-small-2603,accuracy,8,0.9021915584415585,0.9395292207792207,0.03733766233766232,6.625
algo1,mistral-small-2603,precision,8,0.2912418152378919,0.5208333333333333,0.22959151809544143,6.625
algo1,mistral-small-2603,recall,8,0.4013157894736842,0.07236842105263158,-0.3289473684210526,6.625
algo2,mistral-small-2506,accuracy,1,0.8863636363636364,0.9285714285714286,0.04220779220779225,5.0
algo2,mistral-small-2506,precision,1,0.25,0.2,-0.04999999999999999,5.0
algo2,mistral-small-2506,recall,1,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5.0
