algorithm,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo2,deepseek-chat-v3-0324,random-k,accuracy,0.9128217652018524,1.0,1.0,1.0,-0.08717823479814758,614.2916666666666,4800,320
algo2,deepseek-chat-v3-0324,random-k,precision,0.35262043566238643,1.0,1.0,1.0,-0.6473795643376136,614.2916666666666,4800,320
algo2,deepseek-chat-v3-0324,random-k,recall,0.1563861679132642,1.0,1.0,1.0,-0.8436138320867358,614.2916666666666,4800,320
algo2,deepseek-chat-v3-0324,wordnet-ontology-match,accuracy,0.9128217652018524,1.0,1.0,1.0,-0.08717823479814758,614.2916666666666,960,320
algo2,deepseek-chat-v3-0324,wordnet-ontology-match,precision,0.3526204356623864,1.0,1.0,1.0,-0.6473795643376136,614.2916666666666,960,320
algo2,deepseek-chat-v3-0324,wordnet-ontology-match,recall,0.1563861679132642,1.0,1.0,1.0,-0.8436138320867358,614.2916666666666,960,320
algo2,deepseek-chat-v3.1,random-k,accuracy,0.9172781857193195,1.0,1.0,1.0,-0.08272181428068055,613.9270833333334,4800,320
algo2,deepseek-chat-v3.1,random-k,precision,0.3494692396501176,1.0,1.0,1.0,-0.6505307603498823,613.9270833333334,4800,320
algo2,deepseek-chat-v3.1,random-k,recall,0.12895020972003016,1.0,1.0,1.0,-0.8710497902799699,613.9270833333334,4800,320
algo2,deepseek-chat-v3.1,wordnet-ontology-match,accuracy,0.9172781857193194,1.0,1.0,1.0,-0.08272181428068055,613.9270833333334,960,320
algo2,deepseek-chat-v3.1,wordnet-ontology-match,precision,0.3494692396501176,1.0,1.0,1.0,-0.6505307603498823,613.9270833333334,960,320
algo2,deepseek-chat-v3.1,wordnet-ontology-match,recall,0.12895020972003016,1.0,1.0,1.0,-0.8710497902799699,613.9270833333334,960,320
algo2,gemini-2.0-flash-exp,random-k,accuracy,0.8818505864290749,0.953125,0.94714465460679,0.95910534539321,-0.07127441357092518,503.0260416666667,4800,320
algo2,gemini-2.0-flash-exp,random-k,precision,0.2925773034531258,0.953125,0.94714465460679,0.95910534539321,-0.6605476965468742,503.0260416666667,4800,320
algo2,gemini-2.0-flash-exp,random-k,recall,0.055183476434730865,0.953125,0.94714465460679,0.95910534539321,-0.8979415235652692,503.0260416666667,4800,320
algo2,gemini-2.0-flash-exp,wordnet-ontology-match,accuracy,0.8818505864290748,0.953125,0.9397469646666798,0.9665030353333202,-0.07127441357092516,503.0260416666667,960,320
algo2,gemini-2.0-flash-exp,wordnet-ontology-match,precision,0.29257730345312577,0.953125,0.9397469646666798,0.9665030353333202,-0.6605476965468742,503.0260416666667,960,320
algo2,gemini-2.0-flash-exp,wordnet-ontology-match,recall,0.05518347643473086,0.953125,0.9397469646666798,0.9665030353333202,-0.8979415235652691,503.0260416666667,960,320
algo2,gemini-2.5-pro,random-k,accuracy,0.9253514169938588,1.0,1.0,1.0,-0.07464858300614115,582.984375,4800,320
algo2,gemini-2.5-pro,random-k,precision,0.39287284066695827,1.0,1.0,1.0,-0.6071271593330416,582.984375,4800,320
algo2,gemini-2.5-pro,random-k,recall,0.09776293273519517,1.0,1.0,1.0,-0.9022370672648049,582.984375,4800,320
algo2,gemini-2.5-pro,wordnet-ontology-match,accuracy,0.9253514169938589,1.0,1.0,1.0,-0.07464858300614115,582.984375,960,320
algo2,gemini-2.5-pro,wordnet-ontology-match,precision,0.39287284066695827,1.0,1.0,1.0,-0.6071271593330417,582.984375,960,320
algo2,gemini-2.5-pro,wordnet-ontology-match,recall,0.09776293273519517,1.0,1.0,1.0,-0.9022370672648048,582.984375,960,320
algo2,gpt-5,random-k,accuracy,0.9183030995167624,1.0,1.0,1.0,-0.08169690048323769,618.3020833333334,4800,320
algo2,gpt-5,random-k,precision,0.3555737491344762,1.0,1.0,1.0,-0.6444262508655237,618.3020833333334,4800,320
algo2,gpt-5,random-k,recall,0.16408778577391975,1.0,1.0,1.0,-0.8359122142260802,618.3020833333334,4800,320
algo2,gpt-5,wordnet-ontology-match,accuracy,0.9183030995167624,1.0,1.0,1.0,-0.08169690048323769,618.3020833333334,960,320
algo2,gpt-5,wordnet-ontology-match,precision,0.3555737491344762,1.0,1.0,1.0,-0.6444262508655237,618.3020833333334,960,320
algo2,gpt-5,wordnet-ontology-match,recall,0.16408778577391975,1.0,1.0,1.0,-0.8359122142260803,618.3020833333334,960,320
algo2,openai-gpt-4o,random-k,accuracy,0.6247302237491191,0.671875,0.658590518829798,0.685159481170202,-0.047144776250880906,272.8072916666667,4800,320
algo2,openai-gpt-4o,random-k,precision,0.3034908234126984,0.671875,0.658590518829798,0.685159481170202,-0.3683841765873016,272.8072916666667,4800,320
algo2,openai-gpt-4o,random-k,recall,0.04760328389830506,0.671875,0.658590518829798,0.685159481170202,-0.624271716101695,272.8072916666667,4800,320
algo2,openai-gpt-4o,wordnet-ontology-match,accuracy,0.624730223749119,0.671875,0.6421576096496752,0.7015923903503248,-0.047144776250880906,272.8072916666667,960,320
algo2,openai-gpt-4o,wordnet-ontology-match,precision,0.3034908234126984,0.671875,0.6421576096496752,0.7015923903503248,-0.3683841765873016,272.8072916666667,960,320
algo2,openai-gpt-4o,wordnet-ontology-match,recall,0.04760328389830506,0.671875,0.6421576096496752,0.7015923903503248,-0.624271716101695,272.8072916666667,960,320
