algorithm,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo3,deepseek-chat-v3.1,random-k,recall,0.057765154166666666,0.075,0.060091018430393404,0.08990898156960658,-0.017234845833333335,38.87916666666667,1200,240
algo3,deepseek-chat-v3.1,wordnet-ontology-match,recall,0.05776515416666667,0.075,0.041606755374613884,0.1083932446253861,-0.017234845833333335,38.87916666666667,240,240
algo3,deepseek-v3-chat-0324,random-k,recall,0.0073863625,0.008333333333333333,0.0031877014412067025,0.013478965225459964,-0.000946970833333333,3.5,1200,240
algo3,deepseek-v3-chat-0324,wordnet-ontology-match,recall,0.007386362500000001,0.008333333333333333,-0.0031918901518350855,0.019858556818501752,-0.0009469708333333331,3.5,240,240
algo3,gemini-2.0-flash-exp,random-k,recall,0.056628795833333335,0.10833333333333334,0.0907407831412978,0.12592588352536888,-0.0517045375,46.40416666666667,1200,240
algo3,gemini-2.0-flash-exp,wordnet-ontology-match,recall,0.056628795833333335,0.10833333333333334,0.0689294123207374,0.14773725434592927,-0.0517045375,46.40416666666667,240,240
algo3,google-gemini-2.5-pro,random-k,recall,0.03030303333333333,0.05,0.037663462460423194,0.06233653753957681,-0.019696966666666666,20.483333333333334,1200,240
algo3,google-gemini-2.5-pro,wordnet-ontology-match,recall,0.030303033333333333,0.05,0.0223685340969794,0.07763146590302061,-0.019696966666666666,20.483333333333334,240,240
algo3,gpt-5,random-k,recall,0.0,0.0,0.0,0.0,0.0,0.0,1200,240
algo3,gpt-5,wordnet-ontology-match,recall,0.0,0.0,0.0,0.0,0.0,0.0,240,240
algo3,openai-gpt-4o,random-k,recall,0.08655302916666667,0.0875,0.0715056372003194,0.10349436279968059,-0.000946970833333333,49.93333333333333,1200,240
algo3,openai-gpt-4o,wordnet-ontology-match,recall,0.08655302916666667,0.0875,0.05167571065445999,0.12332428934553999,-0.0009469708333333331,49.93333333333333,240,240
