algorithm,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo1,deepseek-chat-v3.1,random-k,accuracy,0.9181020650860768,1.0,1.0,1.0,-0.0818979349139232,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,random-k,precision,0.2846976070043504,1.0,1.0,1.0,-0.7153023929956497,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,random-k,recall,0.0691372029323634,1.0,1.0,1.0,-0.9308627970676366,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,accuracy,0.9181020650860768,1.0,1.0,1.0,-0.0818979349139232,576.3333333333334,480,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,precision,0.2846976070043504,1.0,1.0,1.0,-0.7153023929956496,576.3333333333334,480,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,recall,0.0691372029323634,1.0,1.0,1.0,-0.9308627970676364,576.3333333333334,480,160
algo1,deepseek-v3-chat-0324,random-k,accuracy,0.9140192414174972,1.0,1.0,1.0,-0.0859807585825027,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,random-k,precision,0.2601750039491449,1.0,1.0,1.0,-0.739824996050855,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,random-k,recall,0.1058426756673299,1.0,1.0,1.0,-0.8941573243326701,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,accuracy,0.9140192414174972,1.0,1.0,1.0,-0.0859807585825027,610.5416666666666,480,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,precision,0.2601750039491449,1.0,1.0,1.0,-0.739824996050855,610.5416666666666,480,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,recall,0.1058426756673299,1.0,1.0,1.0,-0.8941573243326701,610.5416666666666,480,160
algo1,gemini-2.0-flash-exp,random-k,accuracy,0.8766153541226216,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.0817179792107117,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,random-k,precision,0.2609019002272186,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.6974314331061147,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,random-k,recall,0.0796111959331182,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.8787221374002151,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,accuracy,0.8766153541226216,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.0817179792107117,472.62916666666666,480,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,precision,0.2609019002272186,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.6974314331061147,472.62916666666666,480,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,recall,0.0796111959331182,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.8787221374002151,472.62916666666666,480,160
algo1,gemini-2.5-pro,random-k,accuracy,0.9248637747911004,1.0,1.0,1.0,-0.0751362252088996,547.1041666666666,2400,160
algo1,gemini-2.5-pro,random-k,precision,0.4041983768546268,1.0,1.0,1.0,-0.5958016231453732,547.1041666666666,2400,160
algo1,gemini-2.5-pro,random-k,recall,0.0931334917312838,1.0,1.0,1.0,-0.9068665082687162,547.1041666666666,2400,160
algo1,gemini-2.5-pro,wordnet-ontology-match,accuracy,0.9248637747911004,1.0,1.0,1.0,-0.0751362252088996,547.1041666666666,480,160
algo1,gemini-2.5-pro,wordnet-ontology-match,precision,0.4041983768546268,1.0,1.0,1.0,-0.5958016231453732,547.1041666666666,480,160
algo1,gemini-2.5-pro,wordnet-ontology-match,recall,0.0931334917312838,1.0,1.0,1.0,-0.9068665082687162,547.1041666666666,480,160
algo1,gpt-5,random-k,accuracy,0.9065040458572434,1.0,1.0,1.0,-0.0934959541427564,618.6666666666666,2400,160
algo1,gpt-5,random-k,precision,0.3234258199241703,1.0,1.0,1.0,-0.6765741800758297,618.6666666666666,2400,160
