Spirituality,1
Suicide ideation,1
Suicide attempt,2
Suicide planning,2
Previous (history of) suicide attempt,2
Nonviolent problem solving and conflict resolution skills,3
Connectedness,2
Access to immediate effective clinical care,3
Ability to safe life by treatment,3
Perceived burdensomness,1
Family history of suicide,1
Feelings of hopelessness,1
History of mental disorders (particularly clinical depression),2
Substance (incl. alcohol) abuse,2
Losses,1
Isolation,3
Bullying,1
History of child maltreatment,1
Barriers to accessing mental health treatment for the individual,3
Barriers to accessing mental health treatment for parents,3
Impulsive/aggressive tendencies,2
Death,3
Attempt,3
Requires medical intervention,3
Access to lethal means,3
Lethality of the method,3
Legislation on firearms,3
Access to firearms,3
Intention to have someone intervene,3
