algorithm,model,metric_name,row_count,mean_historical_score,mean_probe_score,mean_score_delta,mean_parsed_edge_count
algo1,mistral-medium-2508,accuracy,2,0.8928571428571429,0.9415584415584416,0.04870129870129869,5.0
algo1,mistral-medium-2508,precision,2,0.29122807017543856,0.6333333333333333,0.34210526315789475,5.0
algo1,mistral-medium-2508,recall,2,0.5263157894736842,0.13157894736842105,-0.3947368421052631,5.0
algo1,mistral-small-2603,accuracy,2,0.8928571428571429,0.9415584415584416,0.04870129870129869,6.0
algo1,mistral-small-2603,precision,2,0.29122807017543856,0.6666666666666666,0.37543859649122807,6.0
algo1,mistral-small-2603,recall,2,0.5263157894736842,0.10526315789473684,-0.42105263157894735,6.0
algo2,mistral-medium-2508,accuracy,2,0.913961038961039,0.939935064935065,0.025974025974025983,4.5
algo2,mistral-medium-2508,precision,2,0.39166666666666666,0.5833333333333333,0.19166666666666665,4.5
algo2,mistral-medium-2508,recall,2,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4.5
algo2,mistral-small-2603,accuracy,2,0.913961038961039,0.9383116883116883,0.024350649350649345,5.5
algo2,mistral-small-2603,precision,2,0.39166666666666666,0.3333333333333333,-0.05833333333333335,5.5
algo2,mistral-small-2603,recall,2,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5.5
algo3,mistral-medium-2508,recall,2,0.0,0.0,0.0,18.5
algo3,mistral-small-2603,recall,2,0.0,0.0,0.0,16.5
