source_input,pair_name,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),Convergence,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,-1,-1,-1,5,1,23.0,0.0,1.0,1.0,1.0,23
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,-1,-1,1,5,1,23.0,0.0,1.0,1.0,1.0,23
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,-1,1,-1,5,1,6.0,0.0,1.0,1.0,1.0,6
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,-1,1,1,5,1,6.0,0.0,1.0,1.0,1.0,6
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,1,-1,-1,5,1,22.0,0.0,1.0,1.0,1.0,22
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,1,-1,1,5,1,22.0,0.0,1.0,1.0,1.0,22
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,1,1,-1,5,1,19.0,0.0,1.0,1.0,1.0,19
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,-1,1,1,1,5,1,19.0,0.0,1.0,1.0,1.0,19
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,-1,-1,-1,5,1,12.0,0.0,1.0,1.0,1.0,12
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,-1,-1,1,5,1,12.0,0.0,1.0,1.0,1.0,12
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,-1,1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,-1,1,1,5,1,8.0,0.0,1.0,1.0,1.0,8
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,1,-1,-1,5,1,20.0,0.0,1.0,1.0,1.0,20
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,1,-1,1,5,1,20.0,0.0,1.0,1.0,1.0,20
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,1,1,-1,5,1,12.0,0.0,1.0,1.0,1.0,12
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,-1,1,1,1,1,5,1,12.0,0.0,1.0,1.0,1.0,12
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,-1,-1,-1,5,1,6.0,0.0,1.0,1.0,1.0,6
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,-1,-1,1,5,1,6.0,0.0,1.0,1.0,1.0,6
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,-1,1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,-1,1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,1,-1,-1,5,1,7.0,0.0,1.0,1.0,1.0,7
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,1,-1,1,5,1,7.0,0.0,1.0,1.0,1.0,7
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,1,1,-1,5,1,25.0,0.0,1.0,1.0,1.0,25
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,-1,1,1,1,5,1,5.0,0.0,1.0,1.0,1.0,5
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,-1,-1,-1,5,1,16.0,0.0,1.0,1.0,1.0,16
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,-1,-1,1,5,1,16.0,0.0,1.0,1.0,1.0,16
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,-1,1,-1,5,1,13.0,0.0,1.0,1.0,1.0,13
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,-1,1,1,5,1,13.0,0.0,1.0,1.0,1.0,13
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,1,-1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,1,-1,1,5,1,8.0,0.0,1.0,1.0,1.0,8
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,1,1,-1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,-1,1,1,1,1,1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,-1,-1,-1,5,1,18.0,0.0,1.0,1.0,1.0,18
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,-1,-1,1,5,1,18.0,0.0,1.0,1.0,1.0,18
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,-1,1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,-1,1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,1,-1,-1,5,1,21.0,0.0,1.0,1.0,1.0,21
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/raw.csv,sg1_sg2,1,-1,-1,1,-1,1,5,1,21.0,0.0,1.0,1.0,1.0,21
