source_input,pair_name,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,-1,-1,-1,5,1,7.0,0.0,1.0,1.0,1.0,7
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,-1,-1,1,5,1,3.0,0.0,1.0,1.0,1.0,3
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,-1,1,-1,5,1,3.0,0.0,1.0,1.0,1.0,3
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,1,-1,-1,5,1,2.0,0.0,1.0,1.0,1.0,2
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,1,-1,1,5,1,2.0,0.0,1.0,1.0,1.0,2
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,-1,1,1,-1,5,1,7.0,0.0,1.0,1.0,1.0,7
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,1,-1,-1,-1,5,1,5.0,0.0,1.0,1.0,1.0,5
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,1,-1,-1,1,5,1,5.0,0.0,1.0,1.0,1.0,5
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,1,-1,1,-1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,-1,1,1,-1,1,5,1,2.0,0.0,1.0,1.0,1.0,2
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,1,-1,-1,-1,1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,1,-1,-1,1,-1,5,1,3.0,0.0,1.0,1.0,1.0,3
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,1,-1,-1,1,1,5,1,1.0,0.0,1.0,1.0,1.0,1
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,1,-1,1,-1,-1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo1-olmo-current/aggregated/algo1/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,sg1_sg2,1,-1,1,1,-1,5,1,3.0,0.0,1.0,1.0,1.0,3
