Recall,Feature
15.014570674759808,Example
0.0,Counter-Example
0.0,Number of Words
10.820409382544522,Depth
0.0,Decoding Algorithm
0.0,Beam Width Level
0.0,Contrastive Penalty Level
1.5564285042475807e-28,Repetition
0.0,Example_AND_Counter-Example
0.0,Example_AND_Number of Words
30.89104865321921,Example_AND_Depth
4.888096454566257e-29,Example_AND_Decoding Algorithm
0.0,Example_AND_Beam Width Level
0.0,Example_AND_Contrastive Penalty Level
4.790519674901252e-28,Counter-Example_AND_Number of Words
0.0,Counter-Example_AND_Depth
0.0,Counter-Example_AND_Decoding Algorithm
0.0,Counter-Example_AND_Beam Width Level
0.0,Counter-Example_AND_Contrastive Penalty Level
0.0,Number of Words_AND_Depth
0.0,Number of Words_AND_Decoding Algorithm
0.0,Number of Words_AND_Beam Width Level
0.0,Number of Words_AND_Contrastive Penalty Level
2.008013474143394e-27,Depth_AND_Decoding Algorithm
0.0,Depth_AND_Beam Width Level
0.0,Depth_AND_Contrastive Penalty Level
0.0,Decoding Algorithm_AND_Beam Width Level
0.0,Decoding Algorithm_AND_Contrastive Penalty Level
0.0,Beam Width Level_AND_Contrastive Penalty Level
9.19558405601132e-28,Error
