algorithm,avg_duration_seconds,avg_tokens_per_second,condition_bits,condition_label,decoding_algorithm,embedding_model,max_duration_seconds,max_tokens_per_second,model,pair_name,raw_row_path,recall,replication,response_trace_count,result_edge_count,status,thinking_mode_supported,total_completion_tokens,total_prompt_tokens
algo3,2.231316272727273,29.05920431818182,0000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.774832,32.393371,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,0.0,0,22,48,finished,False,1510,5280
algo3,2.1728296363636366,29.817261409090907,0000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.351118,33.346848,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,0.0,1,22,48,finished,False,1510,5280
algo3,2.2447689545454548,28.92213422727273,0000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.909937,32.200372,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,0.0,2,22,48,finished,False,1510,5280
algo3,2.209614045454545,29.575401772727275,0000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.824249,32.675873,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,0.0,3,22,48,finished,False,1510,5280
algo3,2.2154484545454545,29.412962545454548,0000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.703747,32.540004,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_04/raw_row.json,0.0,4,22,48,finished,False,1510,5280
algo3,1.407786442857143,29.118268757142857,0001,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.597841,32.774652,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0001/rep_00/raw_row.json,0.0,0,70,187,finished,False,2952,16754
algo3,1.4213717000000001,28.751489057142855,0001,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.716645,32.870154,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0001/rep_01/raw_row.json,0.0,1,70,187,finished,False,2952,16754
algo3,1.4176181571428572,28.881801742857142,0001,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.718084,32.597653,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0001/rep_02/raw_row.json,0.0,2,70,187,finished,False,2952,16754
algo3,1.3864826571428572,29.450446485714284,0001,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.28618,33.57657,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0001/rep_03/raw_row.json,0.0,3,70,187,finished,False,2952,16754
algo3,1.4189314285714285,28.943749042857142,0001,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,15.847985,32.358988,allenai/Olmo-3-7B-Instruct,subgraph_1_to_subgraph_3,/workspace/results/hf-paper-batch-algo3-olmo-current/runs/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_2/subgraph_1_to_subgraph_3/0001/rep_04/raw_row.json,0.0,4,70,187,finished,False,2952,16754
