accuracy,algorithm,avg_duration_seconds,avg_tokens_per_second,candidate_edge_count,condition_bits,condition_label,decoding_algorithm,embedding_model,f1,max_duration_seconds,max_tokens_per_second,model,pair_name,precision,raw_row_path,recall,replication,response_trace_count,status,thinking_mode_supported,total_completion_tokens,total_prompt_tokens,verified_edge_count,result_edge_count
0.0,algo1,5.9017479999999995,11.859493,1.0,01000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.957111,21.355995,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/01000/rep_00/raw_row.json,0.0,0,2,finished,False,236,1474,0.0,
0.0,algo1,5.7830795,12.1313045,1.0,01000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.789288,21.688179,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/01000/rep_01/raw_row.json,0.0,1,2,finished,False,236,1474,0.0,
0.0,algo1,5.760651999999999,12.1825185,1.0,01000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.753388,21.760585,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/01000/rep_02/raw_row.json,0.0,2,2,finished,False,236,1474,0.0,
0.0,algo1,5.9416135,11.8246325,1.0,01000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.11041,21.061329,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/01000/rep_04/raw_row.json,0.0,4,2,finished,False,236,1474,0.0,
0.0,algo1,7.580519,20.581436,5.0,11001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.90583,21.502071,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/11001/rep_01/raw_row.json,0.0,1,2,finished,False,320,2961,2.0,
0.0,algo1,7.426904,20.9967635,5.0,11001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.659852,21.955681,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/11001/rep_02/raw_row.json,0.0,2,2,finished,False,320,2961,2.0,
0.0,algo1,8.065721,18.2734475,5.0,11001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.847169,21.608539,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/11001/rep_03/raw_row.json,0.0,3,2,finished,False,320,2961,2.0,
0.0,algo1,7.147883,19.580615,3.0,00010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.845599,21.611402,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/00010/rep_01/raw_row.json,0.0,1,2,finished,False,299,1284,1.0,
0.0,algo1,7.2543215,19.384611,3.0,00010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,12.056534,21.233299,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/00010/rep_02/raw_row.json,0.0,2,2,finished,False,299,1284,1.0,
0.0,algo1,7.1230635,19.581435499999998,3.0,00010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.779019,21.733559,mistralai/Ministral-3-8B-Instruct-2512,sg2_sg3,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo1/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg2_sg3/00010/rep_03/raw_row.json,0.0,3,2,finished,False,299,1284,1.0,
0.0,algo2,5.750709,20.3485648,4.0,101000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.976586,23.322369,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101000/rep_00/raw_row.json,0.0,0,5,finished,False,606,7479,2.0,
0.0,algo2,5.7219006,20.620672000000003,4.0,101000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.206222,22.844452,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101000/rep_01/raw_row.json,0.0,1,5,finished,False,606,7479,2.0,
0.0,algo2,5.613862,20.888763,4.0,101000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.697172,23.931559,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101000/rep_02/raw_row.json,0.0,2,5,finished,False,606,7479,2.0,
0.0,algo2,5.6985934,20.5417292,4.0,101000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.834648,23.627902,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101000/rep_03/raw_row.json,0.0,3,5,finished,False,606,7479,2.0,
0.0,algo2,5.656395399999999,20.7198308,4.0,101000,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.770582,23.768446,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101000/rep_04/raw_row.json,0.0,4,5,finished,False,606,7479,2.0,
0.0,algo2,5.682620399999999,20.639776599999998,4.0,101001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.823466,23.652313,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101001/rep_00/raw_row.json,0.0,0,5,finished,False,606,7479,2.0,
0.0,algo2,5.8026078,20.1690374,4.0,101001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.040724,23.186884,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101001/rep_01/raw_row.json,0.0,1,5,finished,False,606,7479,2.0,
0.0,algo2,5.720680199999999,20.5015908,4.0,101001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.892491,23.502429,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101001/rep_02/raw_row.json,0.0,2,5,finished,False,606,7479,2.0,
0.0,algo2,5.7444432,20.3952638,4.0,101001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.971416,23.33336,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101001/rep_03/raw_row.json,0.0,3,5,finished,False,606,7479,2.0,
0.0,algo2,5.6939598,20.561833999999998,4.0,101001,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,10.81917,23.661704,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/101001/rep_04/raw_row.json,0.0,4,5,finished,False,606,7479,2.0,
0.0,algo2,6.3711340000000005,21.039642666666666,2.0,001010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.046899,23.173924,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001010/rep_00/raw_row.json,0.0,0,6,finished,False,818,16174,1.0,
0.0,algo2,6.393765666666667,20.952247166666666,2.0,001010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.104774,23.053148,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001010/rep_01/raw_row.json,0.0,1,6,finished,False,818,16174,1.0,
0.0,algo2,6.451281833333333,20.774599166666665,2.0,001010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.166909,22.924876,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001010/rep_02/raw_row.json,0.0,2,6,finished,False,818,16174,1.0,
0.0,algo2,6.4155871666666675,20.9004915,2.0,001010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.077745,23.109396,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001010/rep_03/raw_row.json,0.0,3,6,finished,False,818,16174,1.0,
0.0,algo2,6.513279833333333,20.5505645,2.0,001010,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,11.152949,22.953571,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001010/rep_04/raw_row.json,0.0,4,6,finished,False,818,16174,1.0,
0.0,algo2,5.96569375,20.63233175,3.0,001011,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,8.710151,22.732098,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001011/rep_00/raw_row.json,0.0,0,4,finished,False,501,9472,2.0,
0.0,algo2,6.017809,20.39183925,3.0,001011,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,8.716924,22.714435,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001011/rep_01/raw_row.json,0.0,1,4,finished,False,501,9472,2.0,
0.0,algo2,6.0394825,20.39249875,3.0,001011,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,8.887244,22.279122,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001011/rep_02/raw_row.json,0.0,2,4,finished,False,501,9472,2.0,
0.0,algo2,5.98183175,20.609586999999998,3.0,001011,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,8.708266,22.737018,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001011/rep_03/raw_row.json,0.0,3,4,finished,False,501,9472,2.0,
0.0,algo2,6.011837,20.48221775,3.0,001011,contrastive_penalty_alpha_0.8,contrastive,Qwen/Qwen3-Embedding-0.6B,0.0,8.772539,22.570432,mistralai/Ministral-3-8B-Instruct-2512,sg3_sg1,0.0,/workspace/results/hf-paper-batch-canonical/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/sg3_sg1/001011/rep_04/raw_row.json,0.0,4,4,finished,False,501,9472,2.0,
