source_input,pair_name,Depth,Number of Words,Example,Counter-Example,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,Recall,4,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,Recall,3,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,
