algorithm,model,metric_name,row_count,mean_historical_score,mean_probe_score,mean_score_delta,mean_parsed_edge_count
algo1,mistral-medium-2508,accuracy,4,0.9025974025974026,0.9407467532467533,0.038149350649350655,5.0
algo1,mistral-medium-2508,precision,4,0.30384932920536634,0.5916666666666667,0.28781733746130034,5.0
algo1,mistral-medium-2508,recall,4,0.43421052631578944,0.13157894736842105,-0.30263157894736836,5.0
algo1,mistral-small-2603,accuracy,4,0.9025974025974026,0.9383116883116883,0.0357142857142857,6.75
algo1,mistral-small-2603,precision,4,0.30384932920536634,0.41666666666666663,0.11281733746130032,6.75
algo1,mistral-small-2603,recall,4,0.43421052631578944,0.05263157894736842,-0.381578947368421,6.75
algo2,mistral-medium-2508,accuracy,4,0.9285714285714286,0.9407467532467533,0.012175324675324672,4.75
algo2,mistral-medium-2508,precision,4,0.47467948717948716,0.5916666666666667,0.11698717948717946,4.75
algo2,mistral-medium-2508,recall,4,0.4078947368421052,0.13157894736842105,-0.2763157894736842,4.75
algo2,mistral-small-2603,accuracy,4,0.9285714285714286,0.9375,0.008928571428571397,5.75
algo2,mistral-small-2603,precision,4,0.47467948717948716,0.29166666666666663,-0.18301282051282053,5.75
algo2,mistral-small-2603,recall,4,0.4078947368421052,0.039473684210526314,-0.36842105263157887,5.75
algo3,mistral-medium-2508,recall,4,0.0,0.0,0.0,20.25
algo3,mistral-small-2603,recall,4,0.0,0.0,0.0,34.75
