algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model
algo1,0,mistral-small-2603,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,5,gpt-5
algo1,0,mistral-small-2603,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5
algo1,0,mistral-small-2603,precision,0.2666666666666666,0.5,0.2333333333333334,5,gpt-5
algo1,0,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,5,gpt-5
algo1,0,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,5,gpt-5
algo1,0,mistral-medium-2508,precision,0.2666666666666666,0.6666666666666666,0.4,5,gpt-5
algo1,40,mistral-small-2603,accuracy,0.9025974025974026,0.9383116883116883,0.0357142857142857,9,gpt-5
algo1,40,mistral-small-2603,recall,0.3684210526315789,0.05263157894736842,-0.3157894736842105,9,gpt-5
algo1,40,mistral-small-2603,precision,0.28,0.5,0.21999999999999997,9,gpt-5
algo1,40,mistral-medium-2508,accuracy,0.9025974025974026,0.9383116883116883,0.0357142857142857,5,gpt-5
algo1,40,mistral-medium-2508,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,5,gpt-5
algo1,40,mistral-medium-2508,precision,0.28,0.5,0.21999999999999997,5,gpt-5
algo1,80,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,8,gpt-5
algo1,80,mistral-small-2603,recall,0.631578947368421,0.10526315789473684,-0.5263157894736842,8,gpt-5
algo1,80,mistral-small-2603,precision,0.3157894736842105,0.6666666666666666,0.3508771929824561,8,gpt-5
algo1,80,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,5,gpt-5
algo1,80,mistral-medium-2508,recall,0.631578947368421,0.15789473684210525,-0.47368421052631576,5,gpt-5
algo1,80,mistral-medium-2508,precision,0.3157894736842105,0.6,0.28421052631578947,5,gpt-5
algo1,120,mistral-small-2603,accuracy,0.922077922077922,0.935064935064935,0.012987012987012991,5,gpt-5
algo1,120,mistral-small-2603,recall,0.3157894736842105,0.0,-0.3157894736842105,5,gpt-5
algo1,120,mistral-small-2603,precision,0.3529411764705882,0.0,-0.3529411764705882,5,gpt-5
algo1,120,mistral-medium-2508,accuracy,0.922077922077922,0.9415584415584416,0.019480519480519543,5,gpt-5
algo1,120,mistral-medium-2508,recall,0.3157894736842105,0.15789473684210525,-0.15789473684210525,5,gpt-5
algo1,120,mistral-medium-2508,precision,0.3529411764705882,0.6,0.24705882352941178,5,gpt-5
algo2,0,mistral-small-2603,accuracy,0.8863636363636364,0.935064935064935,0.04870129870129869,5,gpt-5
algo2,0,mistral-small-2603,recall,0.4210526315789473,0.0,-0.4210526315789473,5,gpt-5
algo2,0,mistral-small-2603,precision,0.25,0.0,-0.25,5,gpt-5
algo2,0,mistral-medium-2508,accuracy,0.8863636363636364,0.9415584415584416,0.05519480519480524,5,gpt-5
algo2,0,mistral-medium-2508,recall,0.4210526315789473,0.15789473684210525,-0.26315789473684204,5,gpt-5
