source_input,pair_name,Depth,Number of Words,Example,Counter-Example,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,5,1,68.0,0.0,1.0,1.0,1.0,68
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,5,1,68.0,0.0,1.0,1.0,1.0,68
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,5,1,115.0,0.0,1.0,1.0,1.0,115
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,5,1,122.0,0.0,1.0,1.0,1.0,122
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,1,4,1,111.0,0.0,1.0,1.0,1.0,111
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,5,1,263.0,0.0,1.0,1.0,1.0,263
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,5,1,258.0,0.0,1.0,1.0,1.0,258
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,5,1,286.0,0.0,1.0,1.0,1.0,286
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,1,5,1,272.0,0.0,1.0,1.0,1.0,272
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,-1,-1,5,1,687.0,0.0,1.0,1.0,1.0,687
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,-1,1,5,1,646.0,0.0,1.0,1.0,1.0,646
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,1,-1,5,1,807.0,0.0,1.0,1.0,1.0,807
