algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.9358766233766234,0.9327313311688311,minus1,-0.0031452922077922496
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.22861842105263155,0.19572368421052627,minus1,-0.03289473684210528
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.49124604460082405,0.42802840783442564,minus1,-0.06321763676639841
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.8940510797342192,0.8942068106312293,plus1,0.0001557308970101534
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.06514830508474571,0.08103813559322029,plus1,0.015889830508474576
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.32095924908424905,0.3239375608451296,plus1,0.0029783117608805365
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.9305298625792812,0.8895348837209303,minus1,-0.040994978858350906
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.12439903846153841,0.24338942307692304,plus1,0.11899038461538464
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.3273989523067401,0.22415239930295017,minus1,-0.10324655300378993
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.9327313311688311,0.9299918831168832,minus1,-0.0027394480519479236
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.20394736842105257,0.24013157894736836,plus1,0.03618421052631579
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.4257549894957983,0.4076349593722915,minus1,-0.018120030123506825
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.9010070598006645,0.8996573920265781,minus1,-0.001349667774086405
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.04396186440677963,0.03866525423728809,minus1,-0.005296610169491539
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.3878472222222222,0.3410154173312068,minus1,-0.04683180489101535
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.9252444503171248,0.915036997885835,minus1,-0.010207452431289732
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.08894230769230764,0.15805288461538455,plus1,0.06911057692307691
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.2775205738489245,0.25704227563026255,minus1,-0.020478298218661928
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.9361810064935066,0.8761160714285715,minus1,-0.06006493506493504
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.15624999999999994,0.08388157894736839,minus1,-0.07236842105263155
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.4524925595238095,0.30789141414141413,minus1,-0.14460114538239538
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.9012666112956811,0.9002803156146181,minus1,-0.0009862956810630097
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.03707627118644062,0.04608050847457622,plus1,0.009004237288135597
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.4673363095238095,0.4244239404601247,minus1,-0.042912369063684785
