algorithm,model,failure_category,row_count
algo1,deepseek-chat-v3.1,valid_output,480
algo1,deepseek-v3-chat-0324,valid_output,480
algo1,gemini-2.0-flash-exp,valid_output,480
algo1,gemini-2.5-pro,valid_output,480
algo1,gpt-5,valid_output,480
algo1,openai-gpt-4o,valid_output,480
algo2,deepseek-chat-v3-0324,valid_output,960
algo2,deepseek-chat-v3.1,valid_output,960
algo2,gemini-2.0-flash-exp,valid_output,960
algo2,gemini-2.5-pro,valid_output,960
algo2,gpt-5,valid_output,960
algo2,openai-gpt-4o,valid_output,960
algo3,deepseek-chat-v3.1,valid_output,240
algo3,deepseek-v3-chat-0324,valid_output,240
algo3,gemini-2.0-flash-exp,valid_output,240
algo3,google-gemini-2.5-pro,valid_output,240
algo3,gpt-5,valid_output,240
algo3,openai-gpt-4o,valid_output,240
