algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9151785714285715,0.9149756493506495,minus1,-0.00020292207792205197
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.10197368421052626,0.1052631578947368,plus1,0.0032894736842105365
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.17430771439817488,0.184198267010767,plus1,0.009890552612592113
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8975290697674418,0.8991901993355482,plus1,0.0016611295681063787
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.05826271186440675,0.060381355932203354,plus1,0.0021186440677966045
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.3648571914196914,0.40062003968253973,plus1,0.03576284826284831
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9402087737843552,0.9415301268498943,plus1,0.0013213530655391548
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.05288461538461533,0.03605769230769226,minus1,-0.016826923076923066
algo1,deepseek-chat-v3.1,data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.29258623321123317,0.2916161963036963,minus1,-0.0009700369075368864
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9135551948051948,0.9115259740259741,minus1,-0.0020292207792206307
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.20394736842105257,0.1546052631578947,minus1,-0.04934210526315788
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.2572930920236454,0.20842206200662078,minus1,-0.04887103001702464
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.89109219269103,0.8932724252491694,plus1,0.0021802325581393722
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.07415254237288131,0.05932203389830505,minus1,-0.01483050847457626
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.2857369577232193,0.30104978763067,plus1,0.015312829907450698
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9367071881606766,0.9379624735729386,plus1,0.0012552854122620527
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.06971153846153842,0.07331730769230763,plus1,0.003605769230769204
algo1,deepseek-v3-chat-0324,data/results/algo1/deepseek-v3-chat-0324/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.2233651220060012,0.28518300230471283,plus1,0.06181788029871163
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9169237012987013,0.9168019480519481,minus1,-0.00012175324675312016
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.11710526315789468,0.0921052631578947,minus1,-0.02499999999999998
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.22194100833806715,0.1748094430079724,minus1,-0.047131565330094743
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8902616279069768,0.89015780730897,minus1,-0.00010382059800684296
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.10699152542372878,0.07733050847457625,minus1,-0.029661016949152533
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.37578234040878644,0.3144452313037839,minus1,-0.06133710910500256
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.7622225158562368,0.8833245243128964,plus1,0.12110200845665964
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.04326923076923073,0.040865384615384574,minus1,-0.002403846153846159
algo1,gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.192411934470758,0.2860214438339438,plus1,0.0936095093631858
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9303977272727273,0.9364853896103897,plus1,0.006087662337662447
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.15131578947368415,0.1710526315789473,plus1,0.019736842105263136
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.3528233918858919,0.47729076479076477,plus1,0.12446737290487286
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8979443521594683,0.8968023255813954,minus1,-0.001142026578072941
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.06144067796610166,0.05720338983050843,minus1,-0.00423728813559323
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.38565566378066374,0.34296588827838825,minus1,-0.042689775502275484
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9438424947145878,0.9437103594080337,minus1,-0.0001321353065540931
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.05649038461538456,0.06129807692307686,plus1,0.0048076923076922976
algo1,gemini-2.5-pro,data/results/algo1/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.43561507936507937,0.430839473026973,minus1,-0.004775606338106364
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.8894074675324676,0.9030032467532468,plus1,0.013595779220779258
