source_input,Explanation,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9326298701298701,0.01074052092327522,0.9334415584415584,0.9025974025974026,0.9512987012987012,0.9309656091705322,0.934294131089208
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9359780844155845,0.006872195890116752,0.935064935064935,0.9188311688311688,0.948051948051948,0.9349132266301433,0.9370429422010257
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4419780509200981,0.14821007276715914,0.4,0.2,0.75,0.4190126622160458,0.46494343962415047
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.47729640151515146,0.14772141984302348,0.4545454545454545,0.2,0.8,0.45440673036615203,0.5001860726641508
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.22697368421052627,0.0937399274193141,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.21244853197167507,0.24149883644937747
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.19736842105263153,0.06466264387725802,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.18734884057778817,0.20738800152747489
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8928052325581396,0.007094017336466814,0.893687707641196,0.8704318936877077,0.903654485049834,0.8917060031834857,0.8939044619327935
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.895452657807309,0.004980558408402433,0.8953488372093024,0.8787375415282392,0.903654485049834,0.8946809122863963,0.8962244033282216
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.2969179258241758,0.11504179005458794,0.2857142857142857,0.0769230769230769,0.5555555555555556,0.279092015773081,0.3147438358752706
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.34797888410520283,0.10993775545966529,0.375,0.1,0.5555555555555556,0.3309438524083443,0.3650139158020614
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.06514830508474571,0.03659198772125841,0.0508474576271186,0.0169491525423728,0.1694915254237288,0.05947831784445325,0.07081829232503818
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.08103813559322029,0.03723440397073954,0.0847457627118644,0.0169491525423728,0.135593220338983,0.07526860492376893,0.08680766626267165
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9060848308668076,0.059974880556226975,0.9164904862579282,0.6120507399577167,0.9534883720930232,0.8967916268440507,0.9153780348895645
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9139799154334038,0.04863616163604883,0.9249471458773785,0.7019027484143763,0.945031712473573,0.906443664109921,0.9215161667568866
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2644795754514875,0.16754366785063882,0.2314560439560439,0.0588235294117647,0.6538461538461539,0.23851841515209693,0.29044073575087803
