algorithm,model,total_rows,failure_count,failure_rate,summary_type,valid_row_count,mean,median,min,max,q1,q2,q3,p90,p95,p99,iqr
algo1,deepseek-chat-v3.1,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,deepseek-v3-chat-0324,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,gemini-2.0-flash-exp,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,gemini-2.5-pro,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,gpt-5,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,openai-gpt-4o,480.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,deepseek-chat-v3-0324,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,deepseek-chat-v3.1,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,gemini-2.0-flash-exp,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,gemini-2.5-pro,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,gpt-5,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo2,openai-gpt-4o,960.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,deepseek-chat-v3.1,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,deepseek-v3-chat-0324,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,gemini-2.0-flash-exp,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,google-gemini-2.5-pro,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,gpt-5,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo3,openai-gpt-4o,240.0,0.0,0.0,failure_rates,,,,,,,,,,,,
algo1,deepseek-chat-v3.1,,,,parsed_edge_counts,480.0,10.14,9.0,2.0,24.0,,,,,,,
algo1,deepseek-v3-chat-0324,,,,parsed_edge_counts,480.0,14.8,14.0,5.0,51.0,,,,,,,
algo1,gemini-2.0-flash-exp,,,,parsed_edge_counts,480.0,13.03,12.0,1.0,48.0,,,,,,,
algo1,gemini-2.5-pro,,,,parsed_edge_counts,480.0,9.36,9.0,4.0,17.0,,,,,,,
algo1,gpt-5,,,,parsed_edge_counts,480.0,28.69,28.0,12.0,48.0,,,,,,,
algo1,openai-gpt-4o,,,,parsed_edge_counts,480.0,8.26,7.0,1.0,36.0,,,,,,,
algo2,deepseek-chat-v3-0324,,,,parsed_edge_counts,960.0,50.01,52.0,15.0,136.0,,,,,,,
algo2,deepseek-chat-v3.1,,,,parsed_edge_counts,960.0,38.76,39.0,10.0,100.0,,,,,,,
algo2,gemini-2.0-flash-exp,,,,parsed_edge_counts,960.0,28.88,25.0,4.0,398.0,,,,,,,
algo2,gemini-2.5-pro,,,,parsed_edge_counts,960.0,30.18,30.0,10.0,63.0,,,,,,,
algo2,gpt-5,,,,parsed_edge_counts,960.0,50.85,50.0,24.0,82.0,,,,,,,
algo2,openai-gpt-4o,,,,parsed_edge_counts,960.0,84.55,15.0,2.0,691.0,,,,,,,
algo3,deepseek-chat-v3.1,,,,parsed_edge_counts,240.0,43.2,38.0,1.0,177.0,,,,,,,
algo3,deepseek-v3-chat-0324,,,,parsed_edge_counts,240.0,68.71,58.0,12.0,355.0,,,,,,,
algo3,gemini-2.0-flash-exp,,,,parsed_edge_counts,240.0,53.42,49.0,1.0,252.0,,,,,,,
algo3,google-gemini-2.5-pro,,,,parsed_edge_counts,240.0,66.54,55.5,11.0,302.0,,,,,,,
algo3,gpt-5,,,,parsed_edge_counts,240.0,49.9,46.5,1.0,161.0,,,,,,,
algo3,openai-gpt-4o,,,,parsed_edge_counts,240.0,21.39,18.0,1.0,81.0,,,,,,,
algo1,deepseek-chat-v3.1,,,,parsed_edge_quartiles,,,,,,8.0,9.0,12.0,14.0,17.0,22.41999999999996,4.0
algo1,deepseek-v3-chat-0324,,,,parsed_edge_quartiles,,,,,,11.0,14.0,17.0,22.0,25.0,47.83999999999992,6.0
algo1,gemini-2.0-flash-exp,,,,parsed_edge_quartiles,,,,,,8.0,12.0,16.0,20.0,26.0,47.20999999999998,8.0
algo1,gemini-2.5-pro,,,,parsed_edge_quartiles,,,,,,7.0,9.0,11.0,13.0,16.0,17.0,4.0
algo1,gpt-5,,,,parsed_edge_quartiles,,,,,,23.0,28.0,33.25,41.0,46.0,48.0,10.25
algo1,openai-gpt-4o,,,,parsed_edge_quartiles,,,,,,4.0,7.0,10.0,15.0,20.0,31.259999999999877,6.0
algo2,deepseek-chat-v3-0324,,,,parsed_edge_quartiles,,,,,,27.75,52.0,60.25,81.0,88.0,123.81999999999994,32.5
algo2,deepseek-chat-v3.1,,,,parsed_edge_quartiles,,,,,,27.0,39.0,48.0,58.0,69.0,79.0,21.0
algo2,gemini-2.0-flash-exp,,,,parsed_edge_quartiles,,,,,,16.75,25.0,31.25,38.0,43.0,278.81999999999357,14.5
algo2,gemini-2.5-pro,,,,parsed_edge_quartiles,,,,,,22.75,30.0,37.25,43.0,48.0,52.819999999999936,14.5
algo2,gpt-5,,,,parsed_edge_quartiles,,,,,,43.0,50.0,59.0,67.0,72.0,79.2299999999999,16.0
algo2,openai-gpt-4o,,,,parsed_edge_quartiles,,,,,,9.0,15.0,25.0,438.0,590.0,590.0,16.0
algo3,deepseek-chat-v3.1,,,,parsed_edge_quartiles,,,,,,17.0,38.0,59.0,87.0,101.0,124.87999999999988,42.0
algo3,deepseek-v3-chat-0324,,,,parsed_edge_quartiles,,,,,,44.0,58.0,85.0,110.1,137.19999999999993,248.4899999999984,41.0
algo3,gemini-2.0-flash-exp,,,,parsed_edge_quartiles,,,,,,33.0,49.0,69.25,86.1,100.0,138.70999999999984,36.25
algo3,google-gemini-2.5-pro,,,,parsed_edge_quartiles,,,,,,39.0,55.5,83.0,125.0,154.24999999999991,210.70999999999984,44.0
algo3,gpt-5,,,,parsed_edge_quartiles,,,,,,28.0,46.5,65.0,89.0,106.0,133.04999999999993,37.0
algo3,openai-gpt-4o,,,,parsed_edge_quartiles,,,,,,10.75,18.0,28.25,44.0,51.0,67.60999999999999,17.5
