algorithm,model,valid_row_count,mean,median,min,max
algo1,deepseek-chat-v3.1,480,10.14,9.0,2,24
algo1,deepseek-v3-chat-0324,480,14.8,14.0,5,51
algo1,gemini-2.0-flash-exp,480,13.03,12.0,1,48
algo1,gemini-2.5-pro,480,9.36,9.0,4,17
algo1,gpt-5,480,28.69,28.0,12,48
algo1,openai-gpt-4o,480,8.26,7.0,1,36
algo2,deepseek-chat-v3-0324,960,50.01,52.0,15,136
algo2,deepseek-chat-v3.1,960,38.76,39.0,10,100
algo2,gemini-2.0-flash-exp,960,28.88,25.0,4,398
algo2,gemini-2.5-pro,960,30.18,30.0,10,63
algo2,gpt-5,960,50.85,50.0,24,82
algo2,openai-gpt-4o,960,84.55,15.0,2,691
algo3,deepseek-chat-v3.1,240,43.2,38.0,1,177
algo3,deepseek-v3-chat-0324,240,68.71,58.0,12,355
algo3,gemini-2.0-flash-exp,240,53.42,49.0,1,252
algo3,google-gemini-2.5-pro,240,66.54,55.5,11,302
algo3,gpt-5,240,49.9,46.5,1,161
algo3,openai-gpt-4o,240,21.39,18.0,1,81
